INFO 2024-03-28 08:30:58,225 autoreload Watching for file changes with StatReloader
DEBUG 2024-03-28 08:30:58,227 autoreload Waiting for apps ready_event.
DEBUG 2024-03-28 08:30:58,248 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-03-28 08:30:58,363 autoreload Watching dir C:\Users\hp\PycharmProjectslL\daraja\daraja\templates with glob **/*.
DEBUG 2024-03-28 08:30:58,364 autoreload Watching dir C:\Users\hp\PycharmProjectslL\daraja\daraja\locale with glob **/*.mo.
DEBUG 2024-03-28 08:30:58,364 autoreload Watching dir C:\Users\hp\PycharmProjectslL\daraja\daraja\main_app\locale with glob **/*.mo.
DEBUG 2024-03-28 08:30:58,675 utils (0.015) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-03-28 08:30:59,337 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1707301440.7547238
DEBUG 2024-03-28 08:30:59,337 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\asyncio\timeouts.py first seen with mtime 1692878350.0
DEBUG 2024-03-28 08:30:59,337 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1707301440.5968127
DEBUG 2024-03-28 08:30:59,338 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1707301440.4828796
DEBUG 2024-03-28 08:30:59,338 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1707301441.0655458
DEBUG 2024-03-28 08:30:59,338 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1707301431.9187834
DEBUG 2024-03-28 08:30:59,338 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1707301440.8196864
DEBUG 2024-03-28 08:30:59,339 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\DLLs\_decimal.pyd first seen with mtime 1692878398.0
DEBUG 2024-03-28 08:30:59,339 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1707301440.8386745
DEBUG 2024-03-28 08:30:59,339 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\json\scanner.py first seen with mtime 1692878352.0
DEBUG 2024-03-28 08:30:59,340 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1707301441.2254531
DEBUG 2024-03-28 08:30:59,340 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1707301441.193472
DEBUG 2024-03-28 08:30:59,340 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\asyncio\sslproto.py first seen with mtime 1692878350.0
DEBUG 2024-03-28 08:30:59,340 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\inspect.py first seen with mtime 1692878352.0
DEBUG 2024-03-28 08:30:59,341 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_utils.py first seen with mtime 1692878350.0
DEBUG 2024-03-28 08:30:59,341 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\encodings\utf_8.py first seen with mtime 1692878350.0
DEBUG 2024-03-28 08:30:59,341 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pkgutil.py first seen with mtime 1692878352.0
DEBUG 2024-03-28 08:30:59,342 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1707301431.9057894
DEBUG 2024-03-28 08:30:59,342 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\copyreg.py first seen with mtime 1692878350.0
